,Цена,Бренд,Тип наушников,"Минимальная воспроизводимая частота, Гц","Максимальная воспроизводимая частота, кГц",Цвет,Вид наушников,Тип акустического оформления,Чехол/футляр в комплекте,"Вес, г","Гарантия, мес","Срок службы, мес",Страна производства,Встроенный микрофон,Быстрая зарядка,Беспроводная зарядка,Складная конструкция
867,3990.0,other,беспроводные,20.0,20.0,черный,накладные,закрытые,нет,261.0,12.0,24.0,Китай,да,да,нет,да
868,45990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,да,нет
869,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
871,60280.0,other,проводные,5.0,50.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
873,33390.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
875,39990.0,other,беспроводные,10.0,19.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,нет,да,нет
876,3950.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,5.0,12.0,24.0,Китай,да,да,нет,нет
877,89990.0,other,проводные,20.0,20.0,черный,полноразмерные,закрытые,да,328.0,24.0,36.0,США,нет,нет,нет,да
879,80690.0,other,проводные,5.0,43.0,не указано,полноразмерные,закрытые,нет,265.0,12.0,24.0,не указано,нет,нет,нет,нет
880,52890.0,other,беспроводные,100.0,35.0,other,вставные,закрытые,да,83.0,12.0,24.0,Китай,да,да,да,нет
882,8390.0,other,беспроводные,20.0,20.0,белый,накладные,открытые,да,76.0,12.0,24.0,Китай,да,да,нет,нет
883,70390.0,other,проводные,5.0,40.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
885,54990.0,other,проводные,20.0,18.0,other,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
886,27490.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,46.0,12.0,24.0,Китай,да,да,да,нет
887,28090.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,46.0,12.0,24.0,не указано,да,да,да,нет
888,23990.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
889,21090.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,нет,нет,нет
891,3990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,4.5,12.0,24.0,не указано,да,да,нет,нет
892,30190.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
893,1490.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,нет,нет,нет
894,139190.0,other,проводные,20.0,30.0,other,вставные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
895,6590.0,other,беспроводные,20.0,40.0,белый,полноразмерные,закрытые,да,295.0,12.0,24.0,Китай,да,да,нет,да
897,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
898,16190.0,other,проводные,20.0,40.0,other,вставные,закрытые,да,7.0,12.0,24.0,Китай,нет,нет,нет,нет
899,17990.0,other,беспроводные,20.0,20.0,белый,полноразмерные,закрытые,да,256.0,12.0,24.0,Китай,да,да,нет,да
900,26090.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,да,нет
901,40990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
902,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
904,5090.0,other,проводные,5.0,40.0,черный,вставные,закрытые,нет,0.0,12.0,24.0,Китай,нет,нет,нет,нет
905,14290.0,other,беспроводные,5.0,40.0,черный,вставные,закрытые,да,37.0,12.0,24.0,Китай,да,да,да,нет
906,3990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,57.0,6.0,12.0,Китай,да,нет,нет,нет
907,8390.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,271.0,12.0,24.0,Китай,да,да,нет,да
908,88390.0,other,проводные,5.0,20.0,не указано,вставные,закрытые,да,35.0,12.0,24.0,США,нет,нет,нет,нет
909,2490.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,36.0,6.0,12.0,Китай,да,нет,нет,нет
911,389900.0,other,проводные,5.0,40.0,other,полноразмерные,закрытые,да,435.0,12.0,24.0,other,нет,нет,нет,нет
912,790.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,нет,0.0,12.0,24.0,Китай,нет,нет,нет,нет
913,6190.0,other,проводные,10.0,40.0,не указано,вставные,закрытые,да,6.0,12.0,24.0,не указано,нет,нет,нет,нет
914,2690.0,other,проводные,20.0,20.0,черный,вставные,закрытые,нет,0.0,12.0,24.0,Китай,да,нет,нет,нет
915,7190.0,other,беспроводные,20.0,20.0,other,накладные,открытые,нет,30.0,12.0,24.0,Китай,да,да,нет,нет
917,5790.0,other,проводные,20.0,40.0,черный,полноразмерные,полуоткрытые,да,295.0,12.0,24.0,Китай,да,нет,нет,да
918,8790.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,да,да,нет
920,5990.0,other,беспроводные,20.0,20.0,белый,накладные,открытые,да,80.0,12.0,24.0,Китай,да,нет,нет,нет
921,8790.0,other,проводные,10.0,50.0,черный,вставные,закрытые,да,10.0,12.0,24.0,Китай,да,нет,нет,нет
922,5490.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,43.0,12.0,24.0,Китай,да,да,нет,нет
923,7990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
924,12490.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,39.0,12.0,24.0,other,да,да,нет,нет
927,21090.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,нет,нет,нет
929,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
932,990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,42.0,12.0,24.0,other,да,да,нет,нет
933,131000.0,other,проводные,10.0,50.0,черный,полноразмерные,открытые,да,454.0,12.0,24.0,США,да,нет,нет,нет
936,7990.0,other,беспроводные,20.0,20.0,other,накладные,закрытые,нет,0.0,12.0,24.0,other,да,нет,нет,нет
937,11490.0,other,проводные,22.0,17.5,черный,вставные,закрытые,да,30.0,12.0,24.0,США,да,нет,нет,нет
938,5990.0,other,проводные,20.0,20.0,other,вставные,закрытые,нет,0.0,12.0,24.0,Китай,нет,нет,нет,нет
939,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
942,6990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,нет,245.0,12.0,24.0,other,нет,нет,нет,нет
943,54990.0,other,проводные,8.0,41.0,черный,полноразмерные,открытые,да,260.0,12.0,24.0,Китай,нет,нет,нет,нет
944,34841.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
945,54000.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,6.0,12.0,24.0,США,да,да,нет,нет
946,180000.0,other,беспроводные,10.0,40.0,other,полноразмерные,закрытые,да,375.0,12.0,24.0,other,да,да,нет,нет
948,24990.0,other,беспроводные,5.0,40.0,черный,полноразмерные,закрытые,да,270.0,12.0,24.0,не указано,да,нет,нет,да
949,179990.0,other,проводные,20.0,30.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
952,21390.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,46.5,12.0,24.0,не указано,да,да,да,нет
954,39990.0,other,проводные,20.0,25.0,other,вставные,закрытые,нет,0.0,36.0,48.0,other,нет,нет,нет,нет
955,36490.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
956,4990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,34.0,12.0,24.0,не указано,да,да,да,нет
957,21390.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,да,нет
958,33990.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,235.0,12.0,24.0,Китай,да,да,нет,да
959,599900.0,other,проводные,5.0,50.0,черный,полноразмерные,открытые,да,490.0,12.0,24.0,other,нет,нет,нет,нет
961,1790.0,other,проводные,5.0,45.0,other,вставные,закрытые,да,7.0,12.0,24.0,Китай,нет,нет,нет,нет
962,30990.0,other,проводные,5.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
963,21190.0,other,беспроводные,10.0,35.0,белый,вставные,закрытые,нет,83.0,12.0,24.0,Китай,да,да,нет,нет
966,19990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,46.5,12.0,24.0,не указано,да,да,да,нет
968,23190.0,other,беспроводные,20.0,40.0,черный,вставные,закрытые,да,5.0,12.0,24.0,other,да,да,да,нет
969,2990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,2.9,12.0,24.0,Китай,да,да,нет,нет
970,30190.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
971,3990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,да,нет,нет
972,1290.0,other,проводные,4.0,43.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,нет,нет,нет
973,3990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,35.0,12.0,24.0,other,да,нет,нет,нет
974,115990.0,other,проводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
975,1890.0,other,беспроводные,20.0,20.0,не указано,вставные,полуоткрытые,да,3.3,12.0,24.0,Китай,да,да,нет,нет
976,11990.0,other,проводные,20.0,20.0,черный,вставные,закрытые,да,31.0,12.0,24.0,не указано,нет,нет,нет,нет
977,64990.0,other,беспроводные,20.0,40.0,other,вставные,закрытые,да,0.0,12.0,24.0,США,да,да,нет,нет
978,17990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,7.0,12.0,24.0,Китай,да,да,нет,нет
979,2990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,35.0,12.0,24.0,other,да,нет,нет,нет
980,45890.0,other,проводные,8.0,40.0,не указано,вставные,закрытые,да,10.0,12.0,24.0,Китай,нет,нет,нет,нет
982,7290.0,other,беспроводные,16.0,40.0,белый,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
984,14950.0,other,проводные,20.0,40.0,черный,вставные,закрытые,да,21.0,12.0,24.0,Китай,да,нет,нет,нет
988,49990.0,other,проводные,20.0,24.0,other,вставные,закрытые,да,0.0,36.0,48.0,other,нет,нет,нет,нет
989,66580.0,other,проводные,5.0,50.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
990,62990.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,да,384.0,12.0,24.0,не указано,да,да,нет,нет
991,2290.0,other,проводные,10.0,24.0,черный,накладные,закрытые,нет,125.0,12.0,24.0,не указано,да,нет,нет,да
992,89000.0,other,проводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
993,16990.0,other,беспроводные,20.0,20.0,other,вставные,полуоткрытые,да,7.0,12.0,24.0,США,да,да,нет,нет
994,129590.0,other,проводные,5.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,не указано,нет,нет,нет,нет
996,29990.0,other,беспроводные,20.0,20.0,белый,вставные,полуоткрытые,да,0.0,12.0,24.0,Китай,да,да,да,нет
999,26090.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,да,нет
1000,2490.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,нет,нет,нет
1002,24990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,6.0,12.0,24.0,other,да,нет,нет,нет
1003,599990.0,other,проводные,5.0,30.0,черный,полноразмерные,открытые,да,640.0,12.0,24.0,США,нет,нет,нет,нет
1006,2490.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,33.0,12.0,24.0,Китай,да,да,нет,нет
1007,2190.0,other,проводные,20.0,40.0,черный,вставные,закрытые,нет,5.0,12.0,24.0,Китай,да,нет,нет,нет
1008,21590.0,other,проводные,5.0,35.0,черный,полноразмерные,закрытые,нет,300.0,12.0,24.0,не указано,нет,нет,нет,нет
1009,14990.0,other,беспроводные,20.0,20.0,other,вставные,полуоткрытые,да,42.0,12.0,24.0,Китай,да,да,нет,нет
1010,14990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,не указано,да,да,нет,нет
1011,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
1012,185000.0,other,проводные,10.0,50.0,черный,полноразмерные,закрытые,да,677.0,12.0,24.0,не указано,нет,нет,нет,нет
1013,27990.0,other,беспроводные,20.0,40.0,other,вставные,закрытые,да,39.0,12.0,24.0,other,да,да,да,нет
1016,344990.0,other,проводные,20.0,50.0,не указано,вставные,закрытые,да,7.8,12.0,24.0,не указано,нет,нет,нет,нет
1017,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
1019,490.0,other,проводные,20.0,20.0,черный,накладные,закрытые,нет,0.0,12.0,24.0,не указано,нет,нет,нет,нет
1020,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
1021,7990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
1023,10090.0,other,проводные,20.0,20.0,черный,вставные,открытые,нет,3.9,12.0,24.0,Китай,нет,нет,нет,нет
1024,109990.0,other,проводные,10.0,28.0,черный,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
1025,40990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
1026,104990.0,other,проводные,5.0,50.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
1027,7990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
1028,89990.0,other,проводные,4.0,46.5,other,вставные,закрытые,да,6.0,12.0,24.0,не указано,нет,нет,нет,нет
1029,15990.0,other,проводные,20.0,40.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
1031,23190.0,other,беспроводные,20.0,40.0,other,вставные,закрытые,да,5.0,12.0,24.0,other,да,да,да,нет
1032,8490.0,other,беспроводные,20.0,20.0,белый,полноразмерные,закрытые,да,0.0,24.0,36.0,не указано,да,да,нет,да
1033,10990.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,50.0,12.0,24.0,other,да,да,да,нет
1036,209990.0,other,проводные,20.0,20.0,не указано,полноразмерные,открытые,да,330.0,24.0,36.0,США,нет,нет,нет,нет
1037,3490.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,15.0,12.0,24.0,Китай,да,да,нет,нет
1038,1590.0,other,проводные,20.0,40.0,other,вставные,закрытые,нет,4.0,2.0,24.0,Китай,да,нет,нет,нет
1039,5290.0,other,беспроводные,5.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,да,нет,нет
1040,13590.0,other,проводные,8.0,40.0,черный,вставные,закрытые,да,7.0,12.0,24.0,Китай,нет,нет,нет,нет
1041,41950.0,other,проводные,5.0,40.0,черный,полноразмерные,открытые,нет,318.0,12.0,24.0,other,нет,нет,нет,нет
1042,486290.0,other,проводные,3.0,112.0,не указано,полноразмерные,открытые,да,430.0,24.0,36.0,не указано,нет,нет,нет,нет
1043,72000.0,other,беспроводные,20.0,22.0,черный,полноразмерные,закрытые,да,282.0,12.0,24.0,США,да,да,нет,да
1045,2490.0,other,беспроводные,20.0,20.0,черный,накладные,закрытые,нет,230.0,12.0,24.0,Китай,да,да,нет,да
1047,2390.0,other,беспроводные,20.0,20.0,черный,вставные,закрытые,да,53.0,12.0,24.0,не указано,да,да,нет,нет
1048,17990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,нет,282.0,12.0,24.0,Китай,да,да,нет,нет
1049,40990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
1050,2990.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,20.0,12.0,24.0,Китай,да,да,нет,нет
1051,59990.0,other,проводные,20.0,20.0,черный,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
1052,3990.0,other,беспроводные,20.0,20.0,черный,вставные,полуоткрытые,да,2.7,12.0,24.0,Китай,да,да,нет,нет
1053,27490.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,46.0,12.0,24.0,не указано,да,да,да,нет
1054,44990.0,other,беспроводные,5.0,50.0,черный,полноразмерные,закрытые,да,287.0,12.0,24.0,не указано,да,нет,нет,да
1055,499990.0,other,проводные,35.0,20.0,other,полноразмерные,открытые,да,360.0,12.0,24.0,other,нет,нет,нет,да
1056,6490.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,33.0,12.0,24.0,не указано,да,да,нет,нет
1057,12950.0,other,беспроводные,20.0,40.0,other,полноразмерные,закрытые,да,0.0,12.0,24.0,не указано,да,да,нет,нет
1058,117000.0,other,проводные,10.0,50.0,черный,полноразмерные,открытые,да,544.0,12.0,24.0,США,нет,нет,нет,нет
1059,329990.0,other,проводные,10.0,25.0,не указано,полноразмерные,закрытые,да,530.0,12.0,24.0,США,нет,нет,нет,нет
1060,14990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,38.0,12.0,24.0,не указано,да,нет,нет,нет
1061,9290.0,other,проводные,5.0,40.0,черный,вставные,открытые,да,30.0,12.0,24.0,Китай,нет,нет,нет,нет
1063,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
1067,6990.0,other,беспроводные,16.0,40.0,other,полноразмерные,закрытые,нет,441.0,12.0,24.0,Китай,да,да,нет,да
1068,9990.0,other,беспроводные,20.0,20.0,other,полноразмерные,закрытые,нет,232.0,12.0,24.0,Китай,да,да,нет,да
1069,21090.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,да,нет,нет,нет
1070,30190.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
1071,7990.0,other,беспроводные,15.0,40.0,other,вставные,закрытые,нет,34.0,12.0,24.0,Китай,да,да,нет,да
1072,344990.0,other,проводные,20.0,20.0,не указано,вставные,закрытые,да,0.0,12.0,24.0,США,нет,нет,нет,нет
1073,2890.0,other,проводные,20.0,40.0,не указано,полноразмерные,закрытые,да,232.0,12.0,24.0,Китай,нет,нет,нет,нет
1074,3490.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,15.0,12.0,24.0,Китай,да,да,нет,нет
1075,42490.0,other,проводные,10.0,30.0,other,вставные,закрытые,да,8.0,12.0,24.0,Китай,нет,нет,нет,нет
1076,37990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,250.0,12.0,24.0,не указано,да,да,нет,нет
1077,2690.0,other,проводные,10.0,24.0,черный,полноразмерные,закрытые,да,200.0,12.0,24.0,не указано,нет,нет,нет,да
1078,39990.0,other,беспроводные,20.0,20.0,белый,накладные,закрытые,да,330.0,12.0,24.0,Китай,да,да,нет,нет
1079,23990.0,other,беспроводные,5.0,21.0,черный,вставные,закрытые,да,10.0,12.0,24.0,other,да,да,нет,нет
1080,12990.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,7.0,24.0,36.0,Китай,да,да,да,нет
1081,15090.0,other,проводные,20.0,20.0,черный,вставные,закрытые,нет,3.4,12.0,24.0,не указано,нет,нет,нет,нет
1082,9990.0,other,беспроводные,14.0,40.0,белый,вставные,закрытые,да,5.4,12.0,24.0,Китай,да,да,нет,нет
1083,21390.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,46.0,12.0,24.0,не указано,да,нет,нет,нет
1084,39990.0,other,беспроводные,20.0,20.0,черный,полноразмерные,закрытые,да,250.0,12.0,24.0,Китай,да,да,нет,да
1085,28790.0,other,беспроводные,20.0,20.0,other,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
1086,12990.0,other,беспроводные,20.0,20.0,other,накладные,открытые,да,29.0,24.0,36.0,не указано,да,нет,нет,нет
1087,36430.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,0.0,12.0,24.0,Китай,нет,нет,нет,нет
1088,20490.0,other,беспроводные,20.0,20.0,белый,вставные,закрытые,да,13.0,12.0,24.0,Китай,нет,да,нет,нет
1089,297880.0,other,проводные,20.0,20.0,черный,полноразмерные,закрытые,да,380.0,24.0,36.0,США,нет,нет,нет,нет
1090,116390.0,other,проводные,5.0,20.0,other,вставные,закрытые,да,35.0,12.0,24.0,США,нет,нет,нет,нет
1091,34890.0,other,беспроводные,20.0,20.0,не указано,вставные,закрытые,да,50.0,12.0,24.0,Китай,да,да,да,нет
1092,49990.0,other,проводные,20.0,20.0,other,вставные,закрытые,да,28.0,12.0,24.0,other,нет,нет,нет,нет
1093,10290.0,other,проводные,10.0,40.0,other,вставные,закрытые,нет,6.5,12.0,24.0,Китай,нет,нет,нет,нет
1094,4490.0,other,беспроводные,20.0,40.0,черный,полноразмерные,закрытые,нет,260.0,12.0,24.0,Китай,да,да,нет,нет
1095,30390.0,other,проводные,15.0,35.0,не указано,полноразмерные,полуоткрытые,да,380.0,12.0,24.0,не указано,нет,нет,нет,нет
